date,high,low
2020-12-1,49,18
2020-12-2,46,21
2020-12-3,47,20
2020-12-4,54,24
2020-12-5,49,22
2020-12-6,36,24
2020-12-7,53,24
2020-12-8,58,24
2020-12-9,61,31
2020-12-10,52,27
2020-12-11,38,32
2020-12-12,32,20
2020-12-13,27,16
2020-12-14,21,8
2020-12-15,24,14
2020-12-16,27,17
2020-12-17,35,15
2020-12-18,47,25
2020-12-19,33,18
2020-12-20,45,23
2020-12-21,54,41
2020-12-22,56,28
2020-12-23,52,14
2020-12-24,16,3
2020-12-25,34,3
2020-12-26,41,13
2020-12-27,36,26
2020-12-28,29,21
2020-12-29,34,23
2020-12-30,31,8
2020-12-31,29,6